CaseNumber,ReportedDate,OffenseDate,Counts,IBRSeqNumber,IBRCrimeCode,Statute,Description,OffenseID
2023-00004715,1/22/2023,1/21/2023,1,2,26E,21-1550.2,UNAUTHORIZED USE OF CREDIT CARD (WIRE FRAUD),-1030097
2023-00004715,1/22/2023,1/21/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1030096
2023-00004749,1/22/2023,1/22/2023,1,3,90Z,21-1378.A,ACT OF VIOLENCE - ATTEMPT TO CONSPIRE OR ENDEAVOR SERIOUS BODILY HARM OR DEATH,-1030095
2023-00004749,1/22/2023,1/22/2023,1,2,13A,21-1289.16,POINTING FIREARMS,-1030094
2023-00004749,1/22/2023,1/22/2023,1,1,520,21-1273,SELL OR GIVE WEAPON TO MINOR,-1030093
2023-00004728,1/22/2023,2/7/2022,1,1,23D,21-1723,"LARCENY FROM A HOUSE,TENT,BOOTH, RAILROAD CAR",-1030092
2023-00004725,1/22/2023,1/21/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1030091
2023-00004753,1/22/2023,1/22/2023,1,2,90Z,M15-702,INTER W/OFF PROC,-1030090
2023-00004753,1/22/2023,1/22/2023,1,1,88C,OWARR,WARRANT-OTHER,-1030089
2023-00004805,1/22/2023,1/22/2023,1,1,90I,RUNAWA,RUNAWAY,-1030088
2023-00004818,1/22/2023,1/22/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1030087
2023-00004808,1/22/2023,1/22/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1030086
2023-00004867,1/23/2023,1/23/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1030085
2023-00004849,1/22/2023,1/17/2023,1,1,26B,21-1550.25,FRAUDULENT USE OF CREDIT CARD NUMBER,-1030084
2023-00004840,1/22/2023,1/22/2023,1,1,90I,RUNAWA,RUNAWAY,-1030083
2023-00004645,1/21/2023,1/21/2023,1,1,13A,21-652.C,ASSAULT/BATTERY WITH DEADLY WEAPON,-1030082
2023-00004815,1/22/2023,1/22/2023,1,2,90Z,21-540.A.A,ELUDING A PEACE OFFICER,-1030081
2023-00004815,1/22/2023,1/22/2023,1,1,90Z,47-11.901,RECKLESS DRIVING,-1030080
2023-00004578,1/21/2023,1/21/2023,1,2,88A,CWARR,WARRANT-CLEV COUNTY,-1030079
2023-00004578,1/21/2023,1/21/2023,1,1,35A,63-2.402.B.1,POSSESSION OF CDS,-1030078
2023-00004837,1/22/2023,1/22/2023,1,3,90E,37-8,PUBLIC INTOXICATION,-1030077
2023-00004837,1/22/2023,1/22/2023,1,2,13B,21-644.G,DOMESTIC ABUSE IN PRESENCE OF MINOR CHILD (SIMPLE ASSAULT),-1030076
2023-00004837,1/22/2023,1/22/2023,1,1,13A,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),-1030075
2023-00004813,1/22/2023,1/22/2023,1,3,87F,47-11.405,FAILURE TO YIELD FOR EMERGENCY VEHICLE,-1030074
2023-00004813,1/22/2023,1/22/2023,1,2,87F,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,-1030073
2023-00004813,1/22/2023,1/22/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1030072
2023-00004169,1/19/2023,1/19/2023,1,1,90J,M15-605,TRESPASSING,-1030071
2023-00004737,1/22/2023,1/22/2023,1,1,220,21-1438,ENTER STRUCTURE W/CERTAIN INTENT - BREAK AND ENTER (BURGLARY),-1030070
2023-00004094,1/19/2023,1/19/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1030069
2023-00004530,1/21/2023,1/21/2023,1,1,13A,21-644,ASSAULT AND BATTERY (AGGRAVATED ASSAULT),-1030068
2023-00004569,1/21/2023,1/21/2023,1,1,88A,CWARR,WARRANT-CLEV COUNTY,-1030067
2023-00003882,1/18/2023,1/18/2023,1,1,370,21-1021.2,PRODUCE/DIST/POSS JUVENILE PORNOGRAPHY,-1030066
2023-00004340,1/20/2023,1/20/2023,1,1,86D,M3-303,ANIMALS THAT ARE NUISANCES,-1030065
2023-00004160,1/19/2023,1/19/2023,1,1,290,M15-602,MOLESTING PROP,-1030064
2023-00004313,1/20/2023,1/18/2023,1,1,90Z,M10-202,ABANDONED/WRECKED/NON-OPER VEH,-1030063
2023-00004310,1/20/2023,1/20/2023,1,1,90J,M15-605,TRESPASSING,-1030062
2023-00004312,1/20/2023,1/18/2023,1,1,90Z,M10-202,ABANDONED/WRECKED/NON-OPER VEH,-1030061
2023-00004311,1/20/2023,1/18/2023,1,1,90Z,M10-202,ABANDONED/WRECKED/NON-OPER VEH,-1030060
2023-00004341,1/20/2023,1/20/2023,1,2,26B,21-1550.2,UNAUTHORIZED USE OF CREDIT CARD (CREDIT CARD/AUTOMATED TELLER MACHINE FRAUD),-1030059
2023-00004341,1/20/2023,1/20/2023,1,1,23G,21-1435.B,BURGLARY - THIRD DEGREE (THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES),-1030058
2023-00004502,1/21/2023,1/21/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1030057
2023-00004452,1/20/2023,1/21/2023,1,1,90Z,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (ALL OTHER OFFENSES),-1030056
2023-00004361,1/20/2023,1/20/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1030055
2023-00003158,1/15/2023,1/15/2023,1,1,90J,M15-605,TRESPASSING,-1030054
2023-00004355,1/20/2023,1/19/2023,1,1,23H,21-1702,LARCENY OF LOST PROPERTY (ALL OTHER LARCENY),-1030053
2023-00004354,1/20/2023,1/1/2022,1,1,13B,21-644,ASSAULT AND BATTERY (SIMPLE ASSAULT),-1030052
2023-00004337,1/20/2023,1/13/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1030051
2023-00004324,1/20/2023,1/20/2023,1,1,120,21-801,ROBBERY OR ATTEMPTED W/ DANGEROUS WEAPON,-1030050
2023-00004302,1/20/2023,1/1/2017,1,1,11B,21-843.5.E,CHILD SEXUAL ABUSE (FORCIBLE SODOMY),-1030049
2023-00004303,1/20/2023,1/20/2023,1,1,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1030048
2023-00004476,1/21/2023,1/21/2023,1,1,90D,47-11.902,DUI - LIQUOR OR DRUGS/APCV,-1030047
2023-00004124,1/19/2023,1/19/2023,1,1,11A,21-843.5.E,CHILD SEXUAL ABUSE (FORCIBLE RAPE),-1030046
2023-00004107,1/19/2023,1/19/2023,1,1,370,21-843.5.H,CHILD SEXUAL EXPLOITATION (PORNOGRAPHY/OBSCENE MATERIAL),-1030045
2023-00003861,1/18/2023,1/18/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1030044
2023-00003852,1/18/2023,12/28/2022,1,1,13B,21-644,ASSAULT AND BATTERY (SIMPLE ASSAULT),-1030043
2023-00004492,1/21/2023,1/21/2023,1,1,90D,47-11.902.D,AGGRAVATED DUI /APC (=>.15 BAC),-1030042
2023-00004494,1/21/2023,1/21/2023,1,1,90D,47-11.902.D,AGGRAVATED DUI /APC (=>.15 BAC),-1030041
2023-00004263,1/20/2023,1/18/2023,1,1,23C,21-1731,LARCENY OF MERCHANDISE FROM RETAILER (SHOPLIFTING),-1030040
2023-00004074,1/19/2023,1/19/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1030039
2023-00004346,1/20/2023,1/20/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1030038
2023-00004448,1/20/2023,1/20/2023,1,2,13A,21-644.E,DOMESTIC ABUSE AGAINST A PREGNANT WOMAN (AGGRAVATED ASSAULT),-1030037
2023-00004448,1/20/2023,1/20/2023,1,1,13A,21-644.D,DOMESTIC ABUSE WITH DANGEROUS WEAPON (AGGRAVATED ASSAULT),-1030036
2023-00003058,1/14/2023,1/14/2023,1,2,90Z,M15-406,UNDER INFLUENCE/NARC,-1030035
2023-00003777,1/17/2023,1/17/2023,1,1,90Z,M15-503,DIST THE PEACE,-1030034
2023-00003774,1/17/2023,1/17/2023,1,1,90Z,M15-503,DIST THE PEACE,-1030033
2023-00004252,1/20/2023,1/20/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1030030
2023-00003753,1/17/2023,1/17/2023,1,1,90Z,M15-503,DIST THE PEACE,-1030029
2023-00000763,1/4/2023,1/4/2022,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1030028
2023-00004243,1/20/2023,1/20/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1030027
2023-00004233,1/20/2023,1/20/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1030026
2023-00004047,1/19/2023,1/19/2023,1,1,88C,OWARR,WARRANT-OTHER,-1030025
2023-00003526,1/17/2023,1/17/2023,1,1,90Z,M15-503,DIST THE PEACE,-1030024
2023-00004277,1/20/2023,1/17/2023,1,1,13C,21-1173,STALKING (INTIMIDATION),-1030023
2023-00003652,1/17/2023,1/17/2023,1,1,90J,M15-605,TRESPASSING,-1030022
2023-00003808,1/18/2023,1/18/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1030020
2023-00003808,1/18/2023,1/18/2023,1,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1030019
2023-00004062,1/19/2023,1/19/2023,1,1,86R,RECOVEREDVEH,"RECOVERED - AUTO, AIRCRAFT, OR OTHER MOTOR VEHICLE",-1030018
2023-00004087,1/19/2023,9/1/2022,1,1,26C,21-1531.4,FALSE PERSONATION (FRAUD),-1030017
2023-00003086,1/14/2023,1/14/2023,1,2,90J,M15-605,TRESPASSING,-1030016
2023-00003086,1/14/2023,1/14/2023,1,1,23C,M15-603,PETTY LARCENY (SHOPLIFTING),-1030015
2023-00004253,1/20/2023,1/20/2023,3,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1030014
2023-00004259,1/20/2023,1/19/2023,1,1,90Z,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (ALL OTHER OFFENSES),-1030013
2023-00003984,1/18/2023,1/18/2023,1,1,90Z,M15-702,INTER W/OFF PROC,-1030012
2023-00004008,1/19/2023,1/19/2023,1,1,90E,M15-302,PUBLIC INTOX / CONSUMING INTOX BEV - SPIRTS,-1030011
2023-00004093,1/19/2023,1/19/2023,1,1,210,21-1488,BLACKMAIL,-1030010
2023-00004102,1/19/2023,1/19/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1030009
2023-00004103,1/19/2023,1/18/2023,1,1,86G,FOUNDPROP,FOUND PROPERTY,-1030008
2023-00004106,1/19/2023,1/18/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1030007
2023-00004121,1/19/2023,1/19/2023,1,1,90Z,21-850,RACIAL/ETHNIC/RELIGIOUS HARASSMENT (ALL OTHER OFFENSES),-1030006
2023-00003058,1/14/2023,1/14/2023,1,1,23C,M15-603,PETTY LARCENY (SHOPLIFTING),-1030005
2023-00004130,1/19/2023,1/15/2023,1,2,250,21-1592,UTTERING FORGED INSTRUMENTS (COUNTERFEITING/FORGERY),-1030004
2023-00004130,1/19/2023,1/15/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1030003
2023-00004161,1/19/2023,1/19/2023,1,3,90I,RUNAWA,RUNAWAY,-1030002
2023-00004161,1/19/2023,1/19/2023,1,2,13B,21-642,BATTERY (SIMPLE ASSAULT),-1030001
2023-00004161,1/19/2023,1/19/2023,1,1,90I,RUNAWA,RUNAWAY,-1030000
2023-00004174,1/19/2023,1/14/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1029999
2023-00004206,1/19/2023,1/1/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1029998
2023-00004215,1/19/2023,1/19/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1029997
2023-00004217,1/19/2023,1/19/2023,1,3,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1029996
2023-00004217,1/19/2023,1/19/2023,1,2,120,21-801,ROBBERY OR ATTEMPTED W/ DANGEROUS WEAPON,-1029995
2023-00004217,1/19/2023,1/19/2023,1,1,220,21-1431,BURGLARY - FIRST DEGREE,-1029994
2023-00004218,1/19/2023,1/19/2023,1,1,220,21-1431,BURGLARY - FIRST DEGREE,-1029993
2023-00004224,1/20/2023,1/19/2023,1,1,240,21-1720,LARCENY OF AUTO,-1029992
2023-00003048,1/14/2023,1/14/2023,1,1,23C,M15-603,PETTY LARCENY (SHOPLIFTING),-1029991
2023-00002803,1/13/2023,1/13/2023,1,1,290,M15-602,MOLESTING PROP,-1029990
2023-00004225,1/19/2023,12/1/2022,1,1,13C,21-1173,STALKING (INTIMIDATION),-1029989
2023-00004222,1/20/2023,1/20/2023,1,2,90Z,21-1211.1,"INTERRUPTION, DISRUPTION, OR INTERFERENCE WITH EMERGENCY TELEPHONE CALL",-1029988
2023-00004222,1/20/2023,1/20/2023,1,1,13A,21-644.J,DOMESTIC ABUSE BY STRANGULATION (AGGRAVATED ASSAULT),-1029987
2023-00004182,1/19/2023,1/19/2023,1,4,90Z,21-22,OUTRAGING PUBLIC DECENCY,-1029985
2023-00004182,1/19/2023,1/19/2023,1,3,90Z,21-540,OBSTRUCTING OFFICER,-1029984
2023-00004182,1/19/2023,1/19/2023,1,2,23C,21-1706,PETIT LARCENY (SHOPLIFTING),-1029983
2023-00004182,1/19/2023,1/19/2023,1,1,90E,37-8,PUBLIC INTOXICATION,-1029982
2023-00003897,1/18/2023,2/13/2022,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1029981
2023-00002584,1/12/2023,1/9/2023,1,1,26B,21-1550.2,UNAUTHORIZED USE OF CREDIT CARD (CREDIT CARD/AUTOMATED TELLER MACHINE FRAUD),-1029980
2023-00003157,1/15/2023,1/15/2023,1,1,13B,M15-501,ASSAULT & BATTERY (SIMPLE ASSAULT),-1029979
2023-00004064,1/19/2023,1/19/2023,1,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1029978
2023-00002936,1/13/2023,1/13/2023,1,1,90J,M15-605,TRESPASSING,-1029977
2023-00002222,1/10/2023,1/10/2023,1,2,90Z,M15-702,INTER W/OFF PROC,-1029976
2023-00002222,1/10/2023,1/10/2023,1,1,90J,M15-605,TRESPASSING,-1029975
2023-00003741,1/17/2023,1/17/2023,1,2,90E,M15-302,PUBLIC INTOX / CONSUMING INTOX BEV - SPIRTS,-1029974
2023-00001734,1/8/2023,1/8/2023,1,1,90J,M15-605,TRESPASSING,-1029973
2023-00004060,1/19/2023,1/19/2023,1,1,90Z,M15-702,INTER W/OFF PROC,-1029972
2023-00003712,1/17/2023,1/17/2023,1,1,90E,M15-302,PUBLIC INTOX / CONSUMING INTOX BEV - SPIRTS,-1029971
2023-00003957,1/18/2023,1/18/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1029970
2023-00002849,1/13/2023,1/12/2023,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1029969
2023-00004048,1/19/2023,1/15/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1029968
2023-00004045,1/19/2023,1/18/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1029967
2023-00003908,1/18/2023,1/18/2023,1,1,13B,21-843.5.A,CHILD ABUSE BY INJURY (SIMPLE ASSAULT),-1029966
2023-00003661,1/17/2023,1/11/2023,1,1,23H,M15-603,PETTY LARCENY (ALL OTHER LARCENY),-1029965
2023-00003622,1/17/2023,1/17/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1029964
2023-00003688,1/17/2023,1/16/2023,1,1,86D,M3-114,NUISANCE ANIMAL,-1029963
2023-00003587,1/17/2023,1/17/2023,1,1,86D,M3-303,ANIMALS THAT ARE NUISANCES,-1029962
2023-90000024,1/18/2023,1/18/2023,1,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1029961
2023-00003201,1/15/2023,1/15/2023,1,1,90Z,M15-503,DIST THE PEACE,-1029960
2023-90000023,1/18/2023,1/18/2023,1,1,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1029959
2023-90000022,1/17/2023,1/17/2023,1,1,13C,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),-1029958
2023-00003161,1/15/2023,1/15/2023,1,1,90Z,M15-503,DIST THE PEACE,-1029957
2023-00003831,1/18/2023,1/18/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1029956
2023-00002776,1/13/2023,1/13/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1029955
2023-00003490,1/16/2023,1/16/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1029954
2023-00003888,1/18/2023,1/18/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1029953
2023-00003969,1/18/2023,1/18/2023,1,4,90Z,21-1713,RECIEVE/POSSESS/CONCEAL STOLEN PROPERTY / KCSP (ALL OTHER OFFENSES),-1029952
2023-00003969,1/18/2023,1/18/2023,1,3,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1029951
2023-00003969,1/18/2023,1/18/2023,1,2,35A,63-2.402.B.1,POSSESSION OF CDS,-1029950
2023-00003969,1/18/2023,1/18/2023,1,1,23C,21-1731,LARCENY OF MERCHANDISE FROM RETAILER (SHOPLIFTING),-1029949
2023-00003963,1/18/2023,1/18/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1029948
2023-00003993,1/19/2023,1/19/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1029947
2023-00004015,1/19/2023,1/19/2023,1,1,23C,M15-603,PETTY LARCENY (SHOPLIFTING),-1029946
2023-00004011,1/19/2023,1/19/2023,1,1,86S,OFINFO,OFFICERS INFORMATION,-1029945
2023-00003999,1/19/2023,1/19/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1029944
2023-00003983,1/18/2023,1/18/2023,1,1,11D,21-1123.B,SEXUAL BATTERY,-1029943
2023-00003956,1/18/2023,1/18/2023,1,1,23H,20-1740.2,PORCH PIRACY ACT OF 2020,-1029942
2023-00003952,1/18/2023,2/13/2022,1,1,86S,LOSTPROP,LOST PROPERTY,-1029941
2023-00003951,1/18/2023,1/15/2023,1,1,240,21-1720,LARCENY OF AUTO,-1029940
2023-00003939,1/18/2023,1/18/2023,2,1,23H,21-1701,LARCENY (ALL OTHER LARCENY),-1029939
2023-00003938,1/18/2023,1/18/2023,1,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1029938
2023-00003931,1/18/2023,1/18/2023,1,1,88B,MWARR,WARRANT-MUNICIPAL (NORMAN),-1029937
2023-00003917,1/18/2023,1/18/2023,1,2,83D,RUNAWAYLOC,RUNAWAY-LOCATED/RECOVERED (OUTSIDE AGENCY),-1029936
2023-00003917,1/18/2023,1/18/2023,1,1,90I,RUNAWA,RUNAWAY,-1029935
2023-00003916,1/18/2023,10/10/2022,1,1,80N,PUBLICDOC,PUBLIC DOCUMENTATION,-1029934
2023-00003890,1/18/2023,12/12/2022,1,1,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,-1029933
2023-00003879,1/18/2023,1/18/2023,1,1,86P,UNATDTH,UNATTENDED / ATTENDED DEATH,-1029932
2023-00003869,1/18/2023,1/17/2023,1,1,13B,21-644,ASSAULT AND BATTERY (SIMPLE ASSAULT),-1029931
2023-00003865,1/18/2023,1/18/2023,1,1,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,-1029930
2023-00003854,1/18/2023,11/1/2022,1,1,26C,21-1531.4,FALSE PERSONATION (FRAUD),-1029929
2023-00003842,1/18/2023,12/30/2022,1,1,240,21-1720,LARCENY OF AUTO,-1029928
2023-00003840,1/18/2023,1/16/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1029927
2023-00003824,1/18/2023,1/16/2023,1,1,23H,21-1706,PETIT LARCENY (ALL OTHER LARCENY),-1029926
2023-00003820,1/18/2023,1/18/2023,1,1,13C,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),-1029925
2023-00003681,1/17/2023,1/17/2023,1,1,13A,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,-1029924
2023-00003399,1/16/2023,1/16/2023,1,1,86D,M3-109,DANGEROUS ANIMAL,-1029923
2023-00002018,1/9/2023,1/17/2023,2,2,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1029922
2023-00002018,1/9/2023,1/9/2023,2,1,220,21-1435.A,BURGLARY - SECOND DEGREE (BURGLARY),-1029921
2023-00001918,1/9/2023,1/7/2023,1,1,26A,21-1501,SECURING CREDIT FRAUDENTLY (FALSE PRETENSES/SWINDLE/CONFIDENCE GAME),-1029920
2023-00003586,1/17/2023,1/9/2023,1,2,23H,21-1720,"LARCENY OF AIRCRAFT,  OTHER VEHICLE, CONSTRUCTION EQUIP, OR FARM EQUIP",-1029917
2023-00003749,1/17/2023,1/17/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1029916
2023-00003794,1/18/2023,1/18/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1029915
2023-00003748,1/17/2023,1/17/2023,1,1,86M,EDPROTECTCUST,EMERGENCY DETENTION / PROTECTIVE CUSTODY,-1029914
2023-00003497,1/16/2023,1/16/2023,1,1,90Z,M15-702,INTER W/OFF PROC,-1029913
2023-00003430,1/16/2023,1/16/2023,1,1,90J,M15-605,TRESPASSING,-1029911
2023-00003477,1/16/2023,1/16/2023,1,1,90Z,M15-503,DIST THE PEACE,-1029910
2023-00003713,1/17/2023,1/14/2023,1,2,90Z,21-1173.B,STALKING IN VIOLATION OF COURT ORDER,-1029909
2023-00003713,1/17/2023,1/14/2023,1,1,90Z,22-60.6,PROTECTIVE ORDER VIOLATION / VPO,-1029908
2023-00003716,1/17/2023,1/4/2023,1,1,23G,21-1705,GRAND LARCENY (THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES),-1029907
2023-00003718,1/17/2023,1/17/2023,1,1,23H,20-1740.2,PORCH PIRACY ACT OF 2020,-1029906
2023-00003807,1/18/2023,1/16/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1029905
2023-00003804,1/18/2023,1/18/2023,1,1,13C,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),-1029904
2023-00003783,1/18/2023,1/18/2023,1,1,13B,21-644,ASSAULT AND BATTERY (SIMPLE ASSAULT),-1029903
2023-00003754,1/17/2023,1/17/2023,1,1,90Z,SUICID,SUICIDE,-1029902
2023-00003672,1/17/2023,1/17/2023,1,5,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1029901
2023-00003672,1/17/2023,1/17/2023,1,4,35A,63-2.402.B.1,POSSESSION OF CDS,-1029900
2023-00003672,1/17/2023,1/17/2023,1,3,35B,63-2.405,UNLAWFUL POSSESSION OF PARAPHERNALIA,-1029899
2023-00003672,1/17/2023,1/17/2023,1,2,90Z,21-421,CONSPIRACY,-1029898
2023-00003672,1/17/2023,1/17/2023,1,1,250,21-1592,UTTERING FORGED INSTRUMENTS (COUNTERFEITING/FORGERY),-1029897
2023-00003741,1/17/2023,1/17/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1029896
2023-00003737,1/17/2023,1/17/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1029895
2023-00003709,1/17/2023,1/17/2023,1,1,90J,21-1835,TRESPASSING AFTER BEING FORBIDDEN,-1029894
2023-00003735,1/17/2023,1/17/2023,1,2,90Z,21-268,RESISTING EXECUTIVE OFFICER (ALL OTHER OFFENSES),-1029893
2023-00003735,1/17/2023,1/17/2023,1,1,87F,47-6.303,DRIVING WITH LIC. CANCELED/SUSPENDED/REVOKED - DUS,-1029892
2023-00003711,1/17/2023,1/15/2022,1,1,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1029891
2023-00003701,1/17/2023,1/16/2023,1,1,13C,21-641,ASSAULT / THREATS (INTIMIDATION),-1029890
2023-00003699,1/17/2023,1/17/2023,1,2,90I,RUNAWA,RUNAWAY,-1029889
2023-00003699,1/17/2023,1/17/2023,1,1,13B,21-644.C,DOMESTIC ABUSE (SIMPLE ASSAULT),-1029888
2023-00003637,1/17/2023,1/17/2023,1,1,83D,RUNAWAYLOC,RUNAWAY-LOCATED/RECOVERED (OUTSIDE AGENCY),-1029887
2023-00003621,1/17/2023,1/17/2023,1,1,13C,21-1378.B,ACT OF VIOLENCE - THREATEN SERIOUS BODILY HARM OR DEATH,-1029886
2023-00003481,1/16/2023,8/1/2022,1,1,13C,21-1173,STALKING (INTIMIDATION),-1029885
2023-00002432,1/11/2023,1/11/2023,1,1,13A,21-645,ASSAULT &/OR BATTERY W/DANGEROUS WEAPON,-1029884
2023-00003610,1/17/2023,1/17/2023,1,1,90I,RUNAWA,RUNAWAY,-1029883
2023-00003549,1/17/2023,1/16/2023,1,2,290,DAMAGEDPROP,DAMAGED PROPERTY,-1029882
2023-00003549,1/17/2023,1/16/2023,1,1,23F,21-1435.B,"BURGLARY FROM AUTO, TRUCK, TRAILER, VESSEL  - THIRD DEGREE (THEFT FROM MOTOR VEHICLE)",-1029881
2023-00003355,1/16/2023,1/16/2023,1,1,290,21-1760,MALICIOUS INJURY/DESTRUCTION OF PROPERTY/VANDALISM,-1029880
2023-00003596,1/17/2023,1/13/2023,1,1,23H,21-1740.2,PORCH PIRACY ACT OF 2020 (LARCENY ALL OTHER),-1029878
2023-00003597,1/17/2023,1/17/2023,1,1,26C,21-1533.1,FRAUDULENTLY OBTAINING PERSONAL IDENTITY OF OTHERS (IMPERSONATION),-1029877
2023-00003660,1/17/2023,1/5/2023,1,1,250,21-1577,FORGERY -COUNTERFEIT -- NOTES/CHECKS/BILLS/DRAFTS,-1029876
2023-00003644,1/17/2023,1/17/2023,1,1,13C,21-1172,OBSCENE/THREATENING/HARASSING PHONE CALL (INTIMIDATION),-1029875
2023-00003563,1/17/2023,1/13/2023,1,1,13B,21-644,ASSAULT AND BATTERY (SIMPLE ASSAULT),-1029874
2023-00003570,1/17/2023,1/3/2023,1,1,83B,MISPER,MISSING PERSON,-1029873
